Date,Time,Temperature C, Temperature F,Humidity
01/31/25,20:31,21.7*C,71.1*F,22.5%
01/31/25,20:36,21.3*C,70.3*F,22.7%
01/31/25,21:01,21.7*C,71.1*F,21.9%
01/31/25,21:06,21.9*C,71.4*F,21.6%
01/31/25,21:11,22.1*C,71.8*F,21.7%
01/31/25,21:17,22.1*C,71.8*F,21.6%
01/31/25,21:22,21.7*C,71.1*F,21.7%
01/31/25,21:27,21.1*C,70.0*F,21.9%
01/31/25,21:32,20.8*C,69.4*F,22.3%
01/31/25,21:37,20.7*C,69.3*F,22.4%
01/31/25,21:42,20.8*C,69.4*F,22.4%
01/31/25,21:47,21.2*C,70.2*F,22.5%
01/31/25,21:52,21.7*C,71.1*F,22.3%
01/31/25,21:57,21.9*C,71.4*F,22.4%
01/31/25,22:07,22.1*C,71.8*F,22.0%
01/31/25,22:12,21.8*C,71.2*F,22.1%
01/31/25,22:17,21.2*C,70.2*F,21.8%
01/31/25,22:22,20.9*C,69.6*F,21.5%
01/31/25,22:27,20.7*C,69.3*F,21.4%
01/31/25,22:32,20.6*C,69.1*F,21.3%
01/31/25,22:42,20.9*C,69.6*F,21.2%
01/31/25,22:52,21.4*C,70.5*F,21.2%
01/31/25,22:57,21.5*C,70.7*F,21.2%
01/31/25,23:02,21.5*C,70.7*F,20.9%
01/31/25,23:07,21.1*C,70.0*F,20.9%
01/31/25,23:12,20.7*C,69.3*F,21.1%
01/31/25,23:17,20.5*C,68.9*F,21.2%
01/31/25,23:22,20.3*C,68.5*F,21.3%
01/31/25,23:32,20.1*C,68.2*F,21.5%
01/31/25,23:37,20.1*C,68.2*F,21.5%
01/31/25,23:42,20.1*C,68.2*F,21.6%
01/31/25,23:52,20.8*C,69.4*F,21.7%
01/31/25,23:57,21.1*C,70.0*F,21.7%
02/01/25,00:02,21.3*C,70.3*F,21.6%
02/01/25,00:22,21.6*C,70.9*F,22.1%
02/01/25,00:27,21.7*C,71.1*F,22.1%
02/01/25,00:32,21.9*C,71.4*F,22.1%
